# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18aajrtmo 267.116132  50.844403  78.132224  30.401895
ZTF18aajrvst 267.067993  50.289690  77.489552  30.366123
ZTF18aajtkma 262.534808  62.798473  92.134519  33.152065
ZTF18aakuohk 244.253910  62.006832  93.583508  41.550545
ZTF18aakvnlw 251.949927  43.645614  68.549212  40.206083
ZTF18aakytes 277.836180  30.326363  58.691254  17.307642
ZTF18aakzafr 281.163207  43.374501  72.547667  19.408603
ZTF18aakzfjo 281.111118  37.997768  67.213563  17.584711
ZTF18aakzqjh 266.703563  19.795705  44.319836  22.794922
ZTF18aakzxki 265.538200  23.808179  47.994938  25.245421
ZTF18aalafea 262.759248  34.442519  58.715991  30.672681
ZTF18aalrikz 196.974303  53.858442 117.565083  63.097962
ZTF18aambkqd 196.311378  58.482265 119.473032  58.553159
ZTF18aamigoo 274.054847  49.868137  77.864911  25.876521
ZTF18aammzjo 281.112050  36.861165  66.103702  17.172430
ZTF18aaniudh 272.449594  30.384875  57.007019  21.676304
ZTF18aaomiig 240.015478  33.187124  53.287811  49.119395
ZTF18aaovfjr 284.546424  46.465674  76.480059  18.211444
ZTF18aaovjvr 253.186790  33.657079  55.822361  38.275567
ZTF18aapauoa 270.179515  21.026172  46.863502  20.240029
ZTF18aapgtye 283.253160  45.452294  75.149561  18.703731
ZTF18aaploaw 266.856651  63.046568  92.318409  31.175708
ZTF18aapqotx 263.126269  50.159064  77.048510  32.862974
ZTF18aapsxwc 290.244616  45.110461  76.762822  14.023216
ZTF18aaptabw 296.875225  48.154904  81.628510  11.296809
ZTF18aaptcay 289.771648  48.251710  79.594500  15.597647
ZTF18aaptcqq 296.080021  49.215884  82.335016  12.257490
ZTF18aaptdcp 275.343815  61.815330  91.168264  27.187183
ZTF18aapuklg 285.925702  53.796070  84.092723  19.866126
ZTF18aaqepuc 174.286117  51.580824 147.714787  61.823793
ZTF18aaqznkg 277.305711  31.106550  59.276923  18.018444
ZTF18aaracvu 280.498804  37.569881  66.612270  17.883483
ZTF18aaraifg 285.243469  30.596518  61.553398  11.550097
ZTF18aasfpxf 269.139099  57.490792  85.914330  29.866513
ZTF18aaslagi 271.443110  31.671576  58.014458  22.913469
ZTF18aasncio 297.097109  36.439705  71.368558   5.437087
ZTF18aasnlwa 290.641859  27.533636  60.882115   5.965102
ZTF18aatzhmn 280.462698  37.874611  66.901015  18.018471
ZTF18aauebur 297.204640  46.510009  80.266025  10.314750
ZTF18aauefbw 291.952182  44.790154  76.991879  12.793052
ZTF18aauegwi 293.015123  45.133100  77.645294  12.267292
ZTF18aaufjip 293.946365  33.137541  67.202791   6.082248
ZTF18aaumvgk 270.076301  15.257914  41.209500  18.057916
ZTF18aautxxk 212.826219  48.216160  91.890856  63.816272
ZTF18aauxwft 244.899118  52.775466  81.426358  43.968177
ZTF18aavesgh 288.520418  47.419435  78.455902  16.042615
ZTF18aavetqn 289.674982  44.820101  76.318485  14.270407
ZTF18aavojbe 236.719611  37.904156  60.656559  51.856438
ZTF18aavqyfi 296.649354  24.382553  60.733566  -0.285099
ZTF18aavyoqk 281.262617  13.921483  44.680688   7.688007
ZTF18aavzjuw 300.021762  22.935000  61.076830  -3.678947
ZTF18aavzjuy 300.615663  22.573875  61.057001  -4.334667
ZTF18aavzkpp 297.726631  35.859974  71.121439   4.706414
ZTF18aawadah 283.068329  15.106536  46.531075   6.644236
ZTF18aawbluo 298.270513  21.246875  58.788657  -3.163668
ZTF18aawceen 304.879538  28.465874  68.112800  -4.358928
ZTF18aawlljc 300.891763  29.576851  67.133579  -0.832542
ZTF18aawluad 303.107713  23.605846  63.163766  -5.718726
ZTF18aawqkva 236.117237  33.956752  54.236598  52.402757
ZTF18aawuypk 297.026862  19.248070  56.470729  -3.172008
ZTF18aawvwks 299.970552  39.233273  74.942867   4.908915
ZTF18aaxdjyj 285.762589  18.529068  50.769849   5.863934
ZTF18aaxlvkk 302.673158  33.873378  71.568275   0.210661
ZTF18aaxndkk 302.306509  33.830776  71.366535   0.442682
ZTF18aaxprrt 309.166434  47.037727  85.181448   3.720134
ZTF18aaxykdf 292.148280  17.482653  52.660728  -0.001881
ZTF18aaxyrau 302.722530  44.179215  80.247619   5.791657
ZTF18aayeczt 299.300877  18.828073  57.205507  -5.236053
ZTF18aayempe 307.231890  47.938959  85.136245   5.307219
ZTF18aayeosh 306.597724  32.019001  71.887495  -3.554998
ZTF18aayhjof 329.385735  54.344387  99.287244  -0.342273
ZTF18aayncoh 291.989984  46.725638  78.797943  13.602389
ZTF18aaynycd 295.627265  36.022024  70.415486   6.262470
ZTF18aayoxjs 321.433040  63.388329 102.155469   9.154935
ZTF18aaypfws 298.905188  23.599416  61.110861  -2.457282
ZTF18aaypnnd 317.141507  39.093140  82.794612  -5.827568
ZTF18aaypqid 346.409999  65.366313 112.195808   4.723886
ZTF18aayukga 302.508360  37.104263  74.202985   2.086379
ZTF18aayupbw 290.128735  27.725878  60.843047   6.457155
ZTF18aayvxdn 302.093938  30.061563  68.102853  -1.451956
ZTF18aaywqbd 307.842531  31.740532  72.277924  -4.576366
ZTF18aaywrtj 324.886645  52.045235  95.746027  -0.396388
ZTF18aayzgkc 272.586220  32.653840  59.359127  22.313113
ZTF18aazeyze 316.147775  15.083731  63.316758 -20.669782
ZTF18aazfbvg 298.691980  18.632577  56.739958  -4.841489
ZTF18aazffjy 307.153464  56.229526  91.959080  10.108396
ZTF18aazlitb 293.766856  17.495064  53.415524  -1.348624
ZTF18aazndjw 347.546493  51.253074 107.233135  -8.506094
ZTF18aazndpb 349.374429  52.338912 108.701091  -7.917962
ZTF18aaznfkp 335.769422  52.682815 101.435766  -3.884227
ZTF18aazsdnv 321.600477  25.640736  75.344816 -17.745701
ZTF18aazvbyj 295.887424  16.518538  53.559231  -3.594719
ZTF18aazwddf 351.016678  51.721672 109.442805  -8.847116
ZTF18abaaewz 247.750957  69.833699 102.197926  37.192192
ZTF18abaeinc 359.977289  61.433989 116.811534  -0.823928
ZTF18abagclj 246.523540  22.845461  40.342085  41.529244
ZTF18abajlni 308.133818  58.157999  93.878030  10.771350
ZTF18abajtog 333.955643  47.350345  97.505425  -7.692604
ZTF18abajvqd 333.168376  51.874192  99.659199  -3.675961
ZTF18abajwhf 333.843260  51.861700  99.996543  -3.921957
ZTF18abaphmn 324.606968  27.510017  78.727998 -18.359129
ZTF18abaqipz 338.400139  51.627562 102.264319  -5.626677
ZTF18abaqnny 302.345404  59.230014  93.143408  13.881428
