# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abztcib  98.378151  59.313272 155.928978  20.894238
ZTF18abzvpif 312.466225  46.330602  86.022673   1.502631
ZTF18acaqbgu 278.649829  31.533615  60.135928  17.107319
ZTF18acarunx 333.515704  37.581311  91.506039 -15.506862
ZTF18acayurb 306.662419  47.473986  84.532705   5.351158
ZTF18acbwqtc 310.184226  50.994489  88.749648   5.578470
ZTF18accbuhi   9.063530  38.858827 119.699019 -23.917592
ZTF18accejpc 294.460590  36.468385  70.352399   7.301997
ZTF18accntcd 285.269242  45.087765  75.318567  17.247693
ZTF18accpmqr 313.786837  -6.486498  41.755850 -30.397367
ZTF18accvefv 106.207834   7.053674 208.151198   6.175953
ZTF18acdwdgx 280.713689  33.947076  63.150345  16.396152
ZTF18acdwipj 301.756680  35.990843  72.939160   1.990984
ZTF18acehgym 342.108209  38.919331  98.208882 -17.975939
ZTF18acemvzp  74.464906  -6.177256 205.131300 -28.023546
ZTF18acewivc  97.422282  -1.650313 211.921087  -5.591059
ZTF18acgplgw  42.500648  37.656084 147.474654 -19.500984
ZTF18achqmhh  67.447026  18.796810 178.098565 -19.955049
ZTF18achruxf  89.425885  35.002685 176.073636   5.289975
ZTF18achtpcj 100.338774  44.684927 170.907387  17.026975
ZTF18acnatft  97.268657  11.427081 200.230456   0.306692
ZTF18acnnxrd 107.867958  -3.437616 218.280801   2.878455
ZTF18acnocdo 138.677819  67.176931 146.623519  38.484945
ZTF18acphaci 103.961827  -9.543789 221.934688  -3.366216
ZTF18acpvmnu 106.899870  -9.211589 222.963730  -0.635692
ZTF18acqxeba 120.819248  66.186145 149.820976  31.868176
ZTF18acrhioo 130.079963  -3.856883 229.737435  22.055291
ZTF18acrvcld 109.171995  -6.946848 221.996619   2.406357
ZTF18acrvecv 109.593306   4.384905 212.079403   7.985054
ZTF18acrxmxy 107.681871   4.325062 211.266246   6.257314
ZTF18acsjdxo  69.819552  15.442651 182.397506 -20.261620
ZTF18acsjgoa  55.692400  33.712000 159.152690 -16.847812
ZTF18actxlqb 341.272357   1.263096  70.851504 -48.408447
ZTF18acuwgij  60.559307  22.143203 170.800108 -22.515095
ZTF18acuxjqf  82.734346  31.866611 175.831018  -1.107733
ZTF18acuxkzq 106.156641   6.020352 209.056191   5.666004
ZTF18acuxvld 108.804098  -6.710622 221.617462   2.192563
ZTF18acvmvpg 281.190349  12.460221  43.327439   7.105491
ZTF18acvvthl 117.418039   7.265542 213.000247  16.235547
ZTF18acwrqet 301.513477   9.119565  49.878944 -12.051763
ZTF18acxhxny  86.767295  26.751109 182.033384  -0.861845
ZTF18acyjvhm 301.569106   7.637648  48.597057 -12.846918
ZTF18acynctq 310.087171  49.265551  87.333217   4.577176
ZTF18acypzuf  69.494888  37.049836 165.083686  -6.656166
ZTF18acyqzew  25.975960  29.017730 136.535357 -32.464328
ZTF18aczejci 141.585076   3.761758 229.137901  35.837283
ZTF18aczower   8.749610  27.605265 118.478412 -35.124288
ZTF18adaifhl  83.941205  -8.796880 212.319553 -20.786789
ZTF18adarypz  60.322601  28.661585 165.766543 -18.014478
ZTF18adavsso 115.500848 -23.913665 239.804018  -0.388768
ZTF18adbahiw 239.184276  -0.163977   9.235642  37.827852
ZTF19aaaaazu 306.764960  19.385555  61.507452 -10.885729
ZTF19aactcry  60.920943  47.940677 152.879663  -3.434996
ZTF19aacyjjz 167.578946  -5.371795 262.203811  49.334702
ZTF19aaedxnl 277.530040  76.720548 107.980660  27.566601
ZTF19aaekpin 103.518286  -9.684296 221.861832  -3.819754
ZTF19aagdvdi 257.910019   5.664147  26.383945  24.745279
ZTF19aajywdx 141.142881   8.675376 223.518457  37.869404
ZTF19aakmorl  99.387529  -9.595031 219.947600  -7.420387
ZTF19aakncwr 122.716317  -4.074590 225.997903  15.613049
ZTF19aanvbqa 261.959040  23.879863  46.840745  28.353577
ZTF19aaqhcmn 188.107373  14.344905 282.867308  76.470532
ZTF19aaqxmmw 224.744090  -6.118273 350.516595  44.651859
ZTF19aarflna 173.509474  14.024811 245.040598  67.696636
